park_code,num_of_trails,avg_difficulty,avg_rating,park_name,fee_per_car,fee_per_person,street_address,city,state,zip,phone,email,lat,lng,weather_summary
fomr,0.0,0.0,0.0,Fort Monroe National Monument,0.0,0.0,41 Bernard Road,Fort Monroe,VA,23651-1001,0,fomr_interpretation@nps.gov,37.01733343,-76.30103195,"Spring: Temperatures range from 40 F to 70 F with rain being common. Summer: Temperatures range from 75 F to 100 F with rain and sun equally common. On very sunny days, be prepared with plenty of water. Fall: Temperatures usually range from 40 F to 65 F. Hurricanes are more likely to threaten the are at this time of year. If planning a visit during this time, please be mindful of the storm activity. Winter: Temperatures range from 40 F to 50 F on average with snow being uncommon."
fone,0.0,0.0,0.0,Fort Necessity National Battlefield,0.0,0.0,1 Washington Parkway,Farmington,PA,15437,0,fone_interpretation@nps.gov,39.81306048,-79.59033344,"Weather varies considerably within each season. Be prepared with layered clothing. Precipitation is common throughout the year. Spring: Temperatures usually range from 25°F to 70°F. On average, May is the wettest month. Summer: Temperatures usually range from 50°F to 80°F. July is the warmest month. Fall: Temperatures usually range from 30°F to 70°F. Fall foliage is at its peak around mid-October. Winter: Temperatures range from 15°F to 40°F. January is the coldest month."
fopu,0.0,0.0,0.0,Fort Pulaski National Monument,0.0,0.0,101 Fort Pulaski Road,Savannah,GA,31410,0,fopu_information@nps.gov,32.0308274,-80.93361681,"Savannah has a humid sub tropical climate with over two hundred days of sunshine each year. Summers are typically hot, bright and humid with afternoon thunderstorms common. Temperatures often range from the lower 70s to the mid 90s F. Spring and autumn can be quite pleasant with temperatures ranging from the upper 50s into the 80s F. The winter months are usually dry. Temperatures can be cooler than one would expect, ranging from the upper 30s through the 60s F generally, though sudden cold snaps can occur."
fost,0.0,0.0,0.0,Fort Stanwix National Monument,0.0,0.0,100 North James St.,Rome,NY,13440,0,fost_info@nps.gov,43.21053441,-75.45557626,"The Park lies within a temperate zone and experiences four full seasons. Summer can become very hot and humid. Snow is common as late as May and as early as October. The fort area can become muddy in all seasons. With most activities outdoors, good closed-toe walking shoes and low heels are advised. Air conditioning and heating is limited to park visitor center most times in the year. Water and extra layers of clothing in all seasons are always recommended!"
fous,0.0,0.0,0.0,Fort Union Trading Post National Historic Site,0.0,0.0,15550 Highway 1804,Williston,ND,58801,0,fous_socialmedia@nps.gov,48.00075828,-104.0375238,"Weather in western North Dakota can be harsh, with extremes in temperature and sudden, violent storms. Be prepared for rapidly changing conditions. Summers are warm with average high temperatures in the 80s-90s May through September. Winters are cold with average lows in the single digits December through February. Wind is considerable year-round. Conditions can change quickly. Travelers should be aware of the potential for violent thunderstorms in the summer and the possibility of blizzards."
fobu,0.0,0.0,0.0,Fossil Butte National Monument,0.0,0.0,864 Chicken Creek Road,Kemmerer,WY,83101,0,fobu_interpretation@nps.gov,41.85635223,-110.7624754,"Expect a variety of weather conditions no matter what time of year you visit. Spring, fall and winter can be very cold; expect snow and winter conditions. Spring: Day time temperatures usually range from 30 F to 65 F Summer: Day time temperatures range from 60 F to 90 F Fall: Day time temperatures range from 45 F to 70 F Winter: Day time temperatures range from -20 F to 30 F"
frsp,0.0,0.0,0.0,Fredericksburg & Spotsylvania National Military Park,0.0,0.0,120 Chatham Ln,Fredericksburg,VA,22405,0,FRSP_Info@nps.gov,38.29378,-77.46734,"The regional climate is characterized by mild winters and warm, humid summers. The mean annual temperatures is 56 degrees Fahrenheit. The average summer temperature is 75 degrees Fahrenheit. Daytime highs during the summer can reach the 90s, and nighttime lows are in the lower 60s. Daytime highs in the winter are typically in the upper 40s, and nighttime lows in the middle 20s. Precipitation is well distributed throughout the year, with the minimum amount in August and the maximum in February."
frhi,0.0,0.0,0.0,Friendship Hill National Historic Site,0.0,0.0,223 New Geneva Rd.,Point Marion,PA,15470,0,frhi_superintendent@nps.gov,39.77543423,-79.92504169,"Weather varies considerably within each season. Be prepared with layered clothing. Precipitation is common throughout the year. Spring: Temperatures usually range from 25°F to 70°F. On average, May is the wettest month. Summer: Temperatures usually range from 50°F to 80°F. July is the warmest month. Fall: Temperatures usually range from 30°F to 70°F. Fall foliage is at its peak around mid-October. Winter: Temperatures range from 15°F to 40°F. January is the coldest month."
gaar,0.0,0.0,0.0,Gates Of The Arctic National Park & Preserve,0.0,0.0,101 Dunkel St,Fairbanks,AK,99701,0,fair_information@nps.gov,67.75961636,-153.2917758,"The climate of Gates of the Arctic National Park & Preserve is generally classified as arctic and sub-arctic, with exceptionally cold winters, relatively mild summers, low annual precipitation, and generally high winds. The weather is influenced by many different systems, and can change rapidly.!!"
gewa,0.0,0.0,0.0,George Washington Birthplace National Monument,0.0,0.0,1732 Popes Creek Road,Colonial Beach,VA,22443,0,gewa_superintendent@nps.gov,38.19362603,-76.92079458,George Washington Birthplace can be very warm and humid in the summer months and cold and dry in the winter. Spring and fall are the best seasons to visit.
gett,0.0,0.0,0.0,Gettysburg National Military Park,0.0,0.0,1195 Baltimore Pike,Gettysburg,PA,17325,0,GETT_Superintendent@nps.gov,39.81557366,-77.23246758,https://www.nps.gov/gett/planyourvisit/weather.htm
gicl,0.0,0.0,0.0,Gila Cliff Dwellings National Monument,0.0,0.0,26 Jim Bradford Trail,Mimbres,NM,88049,0,gicl_information@nps.gov,33.22715258,-108.2706711,"Weather is extremely variable. Summers are usually in the 90s F but approach 100° F. Winters have occasional snow or temperatures near 0° F. Thunderstorms are common in the summer and early fall, usually in the afternoon. Thunderstorms and lightning may cause temporary closures of the monument."
glca,0.0,0.0,0.0,Glen Canyon National Recreation Area,30.0,15.0,691 Scenic View Rd.,Page,AZ,86040,9286086200,glca_carl_hayden@nps.gov,36.9357464677,-111.485594268,"The weather in Glen Canyon National Recreation Area is usually typical for the high deserts. Summers are extremely hot with little, if any, shade. Winters are moderately cold with night time lows often below freezing. Spring weather is highly variable and unpredictable with extended periods of winds. Fall weather is usually nice and mild, a great time to beat the heat (and the crowds!)."
goga,0.0,0.0,0.0,Golden Gate National Recreation Area,0.0,0.0,Golden Gate National Recreation Area,San Francisco,CA,94123-0022,0,goga_socialmedia_goga@nps.gov,37.85982543,-122.6007386,"Winter is characterized by sporadic rain and cool weather punctuated by brilliant sunshine. In winter the grass greens. Trees and flowers dormant through winter start blooming in late February or early March and last until May or June. By July, summer fog predominates in most coastal areas of the park. Grasses and plants have now turned to the golden brown and muted grays characteristic of California summer and fall. September and October skies are clear and sunshine is abundant everywhere in the park."
gosp,0.0,0.0,0.0,Golden Spike National Historical Park,20.0,10.0,6200 North 22300 West,"Promontory, Utah",UT,84307,4354712209,gosp_interpretation@nps.gov,41.61947508,-112.5242653,"Golden Spike National Historical Park is located in a high desert environment in the Promontory Mountains near the north end of the Great Salt Lake. The temperatures can reach over 100 degrees in the summer and dip into single digits in the winter, with much of the park blanketed in snow. Visitors are recommended to check forecasts before coming to our site and come prepared for changing weather conditions."
para,0.0,0.0,0.0,Grand Canyon-Parashant National Monument,0.0,0.0,345 East Riverside Drive,St. George,UT,84790,0,para_interpretation@nps.gov,36.41535465,-113.6682797,"Parashant is split between low elevation Mojave Desert on the west side and high elevation pinyon/juniper/ponderosa highlands on the east side. Expect sun on average 310 days per year. The summer months of June through September are very hot on the west side with highs above 100°F daily (80°F+ at night) below 2,500 feet. The high elevation east side is ~15°F cooler. Expect heavy afternoon monsoon storms June - September. Roads often stay muddy/icy above 5,500 feet December - February."
grpo,0.0,0.0,0.0,Grand Portage National Monument,0.0,0.0,170 Mile Creek Road,Grand Portage,MN,55605,0,grpo_information@nps.gov,47.99294217,-89.75573031,"Short, warm summers and long, cold winters define the climate of northern Minnesota. Average range of summer temperature is from 55°F to 78°F in July and average range of winter temperatures is from –11°F to 12°F in January. Average annual precipitation in Grand Portage, MN is about 32 inches."
grko,0.0,0.0,0.0,Grant-Kohrs Ranch National Historic Site,0.0,0.0,251 Grant Circle,Deer Lodge,MT,59722,0,grko_interpretation@nps.gov,46.41358923,-112.7467024,"Spring: Temperatures can fluctuate greatly. Sub-freezing temperatures in the morning can give way to mild days. Snow in early spring, rain in late season. Summer: Temperatures can average 70-80 F, but can reach highs of 100 F. Rain rare. Dry and hot. Fall: Temperatures can fluctuate greatly. Sub-freezing mornings can give way to mild days. Rain in early fall likely. Winter: Temperature can fall to -30 F, with highs of 10-20 F. Snow is possible. Cold weather gear is highly recommended."
greg,0.0,0.0,0.0,Great Egg Harbor River,0.0,0.0,Route 50,Estell Manor,NJ,08330,0,paul_kenney@nps.gov,39.3042,-74.6497,"Temperate, with a moderating influence of the Atlantic Ocean."
grfa,0.0,0.0,0.0,Great Falls Park,20.0,10.0,9200 Old Dominion Dr.,McLean,VA,22102,7037573101,gwmp_superintendent@nps.gov,38.98776107,-77.25128326,"The Washington, D.C. area has a four-season Mid-Atlantic climate. Summertime is warm and humid, while winter can be cold and snowy. Precipitation averages 2-4” monthly, year-round."
gree,0.0,0.0,0.0,Greenbelt Park,0.0,0.0,6565 Greenbelt Road,Greenbelt,MD,20770,0,kevin_barry@nps.gov,38.98328267,-76.89722133,"The Washington, D.C. area has a four-season Mid-Atlantic climate. Summertime is warm and humid, while winter can be cold and snowy. Spring: During these months of transition, the weather can alternate from warm, humid air coming from the south to cold, dry air coming from the northwest. Be prepared for changing conditions. Summer: The warmest months are June, July, and August, with average highs in the 80s (~31 ?) combined with high humidity. Fall: Expect a drop in temperature and humidity in September"
guis,0.0,0.0,0.0,Gulf Islands National Seashore,15.0,25.0,1801 Gulf Breeze Parkway,Gulf Breeze,FL,32563,8509342600,guis_information@nps.gov,30.29924926,-87.75064297,"Weather along the northern coast of the Gulf of Mexico can change quickly. During the winter temperatures range from 40-70 degrees fahrenheit, rain is less common than other seasons. Snow and freezing temperatures are not common. During the summer temperatures range from 70-100+ degrees fahrenheit. Rain is common during the summer with many thunderstorms. Hurricanes impact the area during the tropical storm season between June and November. Tornadoes can impact the area during the Spring and Fall."
hafo,0.0,0.0,0.0,Hagerman Fossil Beds National Monument,0.0,0.0,17970 U.S. Hwy 30,Hagerman,ID,83332,0,hafo_information@nps.gov,42.79074114,-114.9443074,"Hagerman, Idaho, gets 10 inches of rain per year. On average, there are 213 sunny days per year in Hagerman, Idaho. The July high is around 94 degrees. The January low is 22. Our comfort index, which is based on humidity during the hot months, is a 78 out of 100, where higher is more comfortable. The US average on the comfort index is 44."
hale,0.0,0.0,0.0,Haleakalā National Park,30.0,15.0,Haleakalā National Park,Kula,HI,96790,8085724400,hale_interpretation@nps.gov,20.70693015,-156.1591775,"On any given day, the temperatures in the park can range from a high of 80°F (27°C) in Kīpahulu to a low of 30°F (-1°C) at the summit. In either area clouds and rain can quickly replace warm sunshine. Weather in the high-elevation summit and wilderness areas of the park is highly unpredictable and changes often. Cool temperatures, intense solar radiation, and rapidly moving clouds are characteristic. On average, the temperature drops about 3°F for every 1,000 foot rise in elevation."
hamp,0.0,0.0,0.0,Hampton National Historic Site,0.0,0.0,535 Hampton Lane,Towson,MD,21286,0,Paul_Plamann@nps.gov,39.4175296,-76.58781182,Weather during the spring and fall months tend to be mild. Visitors can expect mild to severe seasonal weather during the winter and summer months. Inclement weather may impact park hours of operation year round. Refer to the park alerts or call ahead to confirm operating hours.
hafe,0.0,0.0,0.0,Harpers Ferry National Historical Park,20.0,10.0,Harpers Ferry National Historical Park,Harpers Ferry,WV,25425,3045356029,harpersferry_info@nps.gov,39.31865949,-77.74088546,"Harpers Ferry experiences all four seasons - the cold and snow of winter, the rain and flowers of spring, the humidity and sunshine of summer, and the chill and leave change of fall. We will strive to keep you up-to-date as Harpers Ferry's landscape changes with the seasons. To see the current weather or the forecasted weather for Harpers Ferry, please visit the National Weather Service site and set the zip code to 25425."
havo,0.0,0.0,0.0,Hawaiʻi Volcanoes National Park,30.0,15.0,1 Crater Rim Drive,Hawaii National Park,HI,96718,8089856011,havo_information@nps.gov,19.3355036,-155.4700257,"The weather at Kīlauea's summit (4000' elevation) varies daily and may be rainy and chilly any time of the year. Temperature varies by elevation. At the summit of the volcano, temperatures may be 12 to 15 degrees cooler than at sea level. The coastal plain at the end of Chain of Craters Road, where lava crossed the road in 2003, is often hot, dry, and windy with the possibility of passing showers."
heho,0.0,0.0,0.0,Herbert Hoover National Historic Site,0.0,0.0,110 Parkside Drive,West Branch,IA,52358,0,heho_information@nps.gov,41.66793558,-91.35232139,"Spring and fall are mild with moderate temperatures. Average high temperatures in the spring and fall are between 50° and 60° F, with lows from 40° F to 50° F. Summer is hot and humid with average highs around 85° F. Winter can be cold, windy, and snowy with highs averaging 30° F or lower. Rain and thunderstorms are most frequent in the spring and summer."
home,0.0,0.0,0.0,Homestead National Historical Park,0.0,0.0,8523 West State Highway 4,Beatrice,NE,68310,0,home_information@nps.gov,40.28802381,-96.83387781,https://forecast.weather.gov/MapClick.php?lat=40.2912&lon=-96.8356#.YKleUHmSmUk
hofu,0.0,0.0,0.0,Hopewell Furnace National Historic Site,0.0,0.0,2 Mark Bird Lane,Elverson,PA,19520,0,hofu_superintendent@nps.gov,40.20610637,-75.76766355,"Summers are generally humid with daily temps. averaging 83 degrees (F) for a high and 60 degrees (F) for a low. Daily temps. in January average 38 degrees (F) for a high and 20 degrees (F) for a low. Precipitation averages 3-5 inches of rain per month during spring, summer and autumn. During winter conditions can be icy with snow accumulating up to several inches."
hobe,0.0,0.0,0.0,Horseshoe Bend National Military Park,0.0,0.0,11288 Horseshoe Bend Road,Daviston,AL,36256,0,HOBE_Information@nps.gov,32.97668879,-85.73413589,"Summers can be extremely hot and humid and winters can be damp, wet, and cold, with occasional hard freezes. During the summer season visitors should dress in light, comfortable clothing, wear comfortable shoes and use sunscreen and insect repellant. Stay hydrated to avoid risk of heat cramps, heat exhaustion and heatstroke. A bottle refill station is available in the visitor center. In the spring and fall visitors should have a light jacket available as temperatures can drop suddenly."
hove,0.0,0.0,0.0,Hovenweep National Monument,20.0,10.0,Along the border between southeast Utah and southwest Colorado,Cortez,CO,81321,9705624282,hoveinfo@nps.gov,37.39134092,-109.0047977,"Hovenweep is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F."
iatr,0.0,0.0,0.0,Ice Age National Scenic Trail,0.0,0.0,8075 Old Sauk Pass Road,Cross Plains,WI,53528,0,iatr_administration@nps.gov,43.9895697794,-89.5612021706,"Wisconsin has four distinctly different seasons. Wisconsin's continental climate means this state enjoys a little bit of everything, weather-wise. Summers are generally warm and pleasant, while the area is covered with a thick blanket of white snow in winter."
jeca,0.0,0.0,0.0,Jewel Cave National Monument,0.0,0.0,11149 U.S. Hwy. 16,Custer,SD,57730,0,jeca_interpretation@nps.gov,43.73102945,-103.829994,"Weather in the Black Hills varies significantly throughout the year and may be drastically different from the northern hills to the southern hills. The temperatures listed are for average lows to average highs in the location of Custer, South Dakota. Spring ~ Temp. Range of 29F to 53F / Summer ~ Temp. Range of 54F to 80F / Fall ~ Temp. Range of 33F to 58F / Winter ~ Temp. Range of 14F to 37F The yearly average rain is 19 inches, with May being the wettest month. The yearly average snow is 48 inches."
joda,0.0,0.0,0.0,John Day Fossil Beds National Monument,0.0,0.0,32651 Highway 19,Kimberly,OR,97848,0,joda_interpretation@nps.gov,44.62566508,-119.8811491,"Weather conditions at John Day Fossil Beds National Monument are highly variable in this semi-arid desert landscape. Summer highs can climb into the 110's. Winters tend to be fairly mild, with occassional snow and ice and lows occasionally dipping into the single digits."
jomu,0.0,0.0,0.0,John Muir National Historic Site,0.0,0.0,4202 Alhambra Ave,Martinez,CA,94553,0,jomu_general_info@nps.gov,37.9828422,-122.1326097,"The Mediterranean climate of Martinez features hot, dry summers with lower temperatures near 60º F and upper temperatures near 100º F. The heat gives way to cool, rainy winters with lows near 45º F and highs near 75º F. Fall and spring can bring rain and temperatures from 55-80º F. March to April: wet/dry, 60-80º F May to September: very dry, 60-100º+ F October to November: dry/wet, 55-80º F December to February: wet, 45-75º F"
jofl,0.0,0.0,0.0,Johnstown Flood National Memorial,0.0,0.0,733 Lake Road,South Fork,PA,15956,0,Nathan_Koozer@nps.gov,40.34584534,-78.77448601,"Winters can be cold and severe. Spring can be seasonable and wet. Summer can be hot with potentials for thunderstorms. Fall can be seasonal, with cold temperatures into October and November."
juba,0.0,0.0,0.0,Juan Bautista de Anza National Historic Trail,0.0,0.0,"440 Civic Center Plaza, Suite 300",Richmond,CA,94804,0,juba_info@nps.gov,33.8743390994,-117.224179857,"The 1,200-mile Anza Trail connects historic, cultural, and recreation sites from Nogales, AZ, to the San Francisco Bay Area that reveal the legacy of our Spanish colonial heritage. To learn more, visit http://www.nps.gov/juba. Each site along the Anza Trail is managed independently. Contact individual sites for hours, directions, and other details."
kaho,0.0,0.0,0.0,Kaloko-Honokōhau National Historical Park,0.0,0.0,"Visitor Center, Queen Ka'ahumanu Highway, south of 97 mile marker",Kailua-Kona,HI,96740,0,Jon_Jokiel@nps.gov,19.68083237,-156.0306932,"The weather in the park is typically hot and sunny, with temperatures in the upper 80's."
kaww,0.0,0.0,0.0,Katahdin Woods and Waters National Monument,0.0,0.0,PO Box 446,Patten,ME,04765,0,kaww_info@nps.gov,45.9567565918,-68.7122879028,Northern Maine experiences all four seasons. Summer temperatures range from 45-90F (7-30C). Fall temperatures range from 30-70F (-1-21C). Typically the first frost is in mid-October and first snowfall begins in November and can continue through April with an average accumulation of 73 inches (185 cm). Winter temperatures range from 14-35F (-10 - 2C). Spring temperatures range from 30-70F (-1-21C).
katm,0.0,0.0,0.0,Katmai National Park & Preserve,0.0,0.0,1000 Silver Street,King Salmon,AK,99613,0,KATM_Visitor_Information@nps.gov,58.62235668,-155.0126574,"Located between the stormy north Pacific Ocean and the even stormier Bering Sea, the Katmai region is often a battleground between weather systems. When you visit, be prepared to encounter all types of weather. On average, wet and cool conditions predominate in spring, summer, and fall. Winters are drier and colder."
keaq,0.0,0.0,0.0,Kenilworth Park & Aquatic Gardens,0.0,0.0,1550 Anacostia Ave. NE,Washington,DC,20019,0,nace_superintendent@nps.gov,38.9128,-76.9434,"June-September expect warm and humid weather. Average high temperatures are in the 80s, though often in the low 90s. On humid days, showers and thunderstorms often build in the late afternoon. July and August are the warmest months. The coldest month is January, with average daytime highs in the low 40s and overnight lows in the upper 20s."
kemo,0.0,0.0,0.0,Kennesaw Mountain National Battlefield Park,0.0,0.0,900 Kennesaw Mountain Dr,Kennesaw,GA,30152,0,kemo_administration@nps.gov,33.95370717,-84.59214186,"Before you start your trip to the mountain, check the local weather forecast to be sure that you will have a dry time. Though we are located north of Atlanta, we're still have the same hot summers and mild winters as our neighbors. The mountain top generally ranges 8-10 degrees cooler than at the base. In fall and winter, be prepared with a light weight jacket on hand. After planning your activities, check back to see what the weather will have in store for your day."
kewe,0.0,0.0,0.0,Keweenaw National Historical Park,0.0,0.0,25970 Red Jacket Road,Calumet,MI,49913,0,kewe_information@nps.gov,47.1792308,-88.52275344,"Summer: Keweenaw summers are usually mild, with average highs in the 70s, but can reach into the 80s and 90s. Nighttime temperatures are typically cool, but can also dip into the 40s or stay in the 70s. Summer months are dry, with occasional rain or severe thunderstorms. Winter: Again influenced by Lake Superior, winter temperatures are mild with highs in the 20s. Cold spells can occur with subzero temperatures. Lake effect snow is common, and 300 inches of snow can fall in a season."
klgo,0.0,0.0,0.0,Klondike Gold Rush National Historical Park,0.0,0.0,Klondike Gold Rush National Historical Park,Skagway,AK,99840,0,klgo_information@nps.gov,59.61042373,-135.2618535,Skagway has a highly variable climate with frequent rain and high winds. Average temperatures May through September range from 47 F to 60 F. Average temperatures October through April range from 28 F to 38 F.
knri,0.0,0.0,0.0,Knife River Indian Villages National Historic Site,0.0,0.0,564 County Road 37,Stanton,ND,58571,0,KNRI_Information@nps.gov,47.3540219,-101.3860533,"Summers are warm and sunny with temperatures occasionally reaching 100 degrees F and frequent afternoon thunderstorms. Winters are invigorating, with extremely cold temperatures as low as -35 degrees F. High winds and sunny skies are common in winter. Snow is sporadic in the relatively dry climate, but blizzards are common."
kova,0.0,0.0,0.0,Kobuk Valley National Park,0.0,0.0,171 3rd Ave,Kotzebue,AK,99752,0,wear_webmail@nps.gov,67.35631336,-159.2002293,"Snow, rain, and freezing temperatures can occur any time of the year. Always travel with good quality rain gear and warm layers. Be especially careful to stay dry. Hypothermia can set in on a windy, wet day, even when it doesn't feel that cold."
lyba,0.0,0.0,0.0,LBJ Memorial Grove on the Potomac,0.0,0.0,Lyndon Baines Johnson Memorial Grove,Washington,DC,0,0,gwmp_superintendent@nps.gov,38.87858036,-77.05145832,"Summers in the park are generally hot and humid, with daytime highs frequently above 90 degrees Fahrenheit and scattered afternoon thunderstorms. Please carry water while participating in physical activity and be prepared to take shelter from lightning. Winters in the park are generally cold, with nighttime lows frequently near freezing and occasional snowfall. Please be alert for snowplows and icy spots on roadways. Weather during spring and fall is generally moderate, but can change quickly."
lacl,0.0,0.0,0.0,Lake Clark National Park & Preserve,0.0,0.0,1 Park Place,Port Alsworth,AK,99653,0,lacl_visitor_information@nps.gov,60.57405857,-153.55535,"Lake Clark has two distinct climate areas: the coast and the interior. The coast is wetter and experiences milder temperatures. The interior gets half to one fourth as much precipitation, but temperatures are hotter in summer and colder in winter. Frost and snow can occur any time parkwide, but are most common from September to early June. Lakes here typically begins freezing in November and melting in April. Ice conditions dictate whether planes need floats or skis to land on lakes."
lake,0.0,0.0,0.0,Lake Mead National Recreation Area,25.0,15.0,Lake Mead Visitor Center,Boulder City,NV,89005,7022938990,LAKE_information@nps.gov,35.96622528,-114.3469067,"Spring (April, May and June): Daytime highs 80 °F to 98 °F. Nighttime lows 50 °F to 66 °F Summer* (July, August and September): Daytime highs 89 °F to 103 °F (It can get up to 117 °F.) Fall (October, November and December): Daytime highs 59 °F to 83 °F. Nighttime lows 32 °F to 50 °F. Winter (January, February and March) Daytime highs 57 °F to 69 °F. Nighttime lows 30 °F to 40 °F. *Summer can be a dangerous time due to excessive heat. Some trails are closed for public safety."
lamr,0.0,0.0,0.0,Lake Meredith National Recreation Area,0.0,0.0,419 E. Broadway,Fritch,TX,79036,0,lamr_interpretation@nps.gov,35.61926203,-101.6820066,"This area of the Texas Panhandle has a wide variety of weather conditions throughout the year. Winters are cold and windy, with summers being hot and dry. It is usually a good idea to check the weather report and dress accordingly."
laro,0.0,0.0,0.0,Lake Roosevelt National Recreation Area,8.0,23.0,Lake Roosevelt National Recreation Area,Coulee Dam,WA,99116,509-754-7800,laro_web_master@nps.gov,48.17148735,-118.3513713,"Lake Roosevelt is generally a cool or cold place from fall through spring with overcast skies. In the summer, the skies clear and present warm to hot days."
labe,0.0,0.0,0.0,Lava Beds National Monument,25.0,20.0,1 Indian Well HQ,Tulelake,CA,96134,5306678113,LABE_Information@nps.gov,41.75915823,-121.5172189,"Park elevations range from 4,000 to 5,700 feet. Cold weather is possible any time of year, and snow has been recorded in all months. Winter day­time highs average 40°F; lows average 20°F. Morning fog is frequent from autumn through spring. Summer daytime highs average 75° to 80°F; lows average 50°F. Occasional thunderstorms occur in summer."
lecl,0.0,0.0,0.0,Lewis & Clark National Historic Trail,0.0,0.0,601 Riverfront Dr.,Omaha,NE,68102,0,lecl_information@nps.gov,41.2646141052,-95.9245147705,"In winter, watch for ice on trails and sidewalks. In summer, make sure to drink plenty of water and wear sunscreen on hot days. Keep in mind the Trail covers 16 states, use www.weather.gov to look up the specific area you plan to visit."
lewi,0.0,0.0,0.0,Lewis and Clark National Historical Park,0.0,0.0,Lewis and Clark National Historical Park,Astoria,OR,97103,0,LEWI_information@nps.gov,46.21178735,-123.9638583,"We see an average of 70 inches of rain a year and we are the foggiest location in the Lower 48 states. Summer months are usually nice with days ranging from 55-70 degrees. Winters are wet and mild, usually 40-55 degrees. During the 106 days the Lewis and Clark Expedition wintered at Fort Clatsop in 1806 it rained all but 12 days and they saw the sun 6 times. While we are usually not so dreary make sure to prepare for rain or shine."
libo,0.0,0.0,0.0,Lincoln Boyhood National Memorial,0.0,0.0,3027 East South Street,Lincoln City,IN,47552,0,LIBO_superintendent@nps.gov,38.11817004,-86.99656861,"Southern Indiana has a moderate climate, characterized by warm, yet moist conditions. Summers are usually warm, and winters cool. Much of the area's average 46 inches of precipitation falls in spring, the rainiest season."
liri,0.0,0.0,0.0,Little River Canyon National Preserve,0.0,0.0,4322 Little River Trail NE Ste 100,Fort Payne,AL,35967,0,liri_information@nps.gov,34.41461863,-85.61734327,"The weather in Fort Payne, Alabama is mild. The average temperature in the winter is in the 50's. The average summer temperature is in the high 80's with high humidity. We receive about 55 inches of rain each year. Snowfall varies, but only lasts a few days per event."
lode,0.0,0.0,0.0,Lower Delaware National Wild and Scenic River,0.0,0.0,NPS Wild & Scenic Rivers,Philadelphia,PA,19107,0,sarah_bursky@nps.gov,40.4000389,-74.983737,Spring: Temperatures usually range from lows of 26 F to highs of 80 F with average rainfall of 5 inches. Summer: Temperatures usually range from lows of 55 F to highs of 85 F with average rainfall of 4 inches. Fall: Temperatures usually range from lows of 30 F to highs of 83F. Fall foliage is at its peak sometime in October as daily mountain temperatures vary frequently and influence the change. Winter: Temperatures usually range from lows of 15 F to highs of 49 F.
mana,0.0,0.0,0.0,Manassas National Battlefield Park,0.0,0.0,6511 Sudley Road,Manassas,VA,20109,0,manassas_battlefield@nps.gov,38.81710063,-77.5353468,"Spring: Mild weather, with average low/high temperatures from 33 F to 75 F. Variable rainfall, with May being the wettest month of the year on average. Summer: Warm and humid weather, with average temperatures from 61 F to 88 F. Variable rainfall, with occasional downpours during storms. Fall: Mild weather, with average temperatures from 35 F to 79 F. Variable rainfall. Winter: Mild to cool weather, with average temperatures from 24 F to 47 F. Annual snowfall averages about 22 inches."
mabi,0.0,0.0,0.0,Marsh - Billings - Rockefeller National Historical Park,0.0,0.0,Billings Farm & Museum Parking Lot,Woodstock,VT,05091,0,mabi_visitorservices@nps.gov,43.63348732,-72.53424638,"The weather in Vermont is dramatic and varied depending on location, terrain, distance from a body of water like Lake Champlain, and elevation and can change from year to year. In the Woodstock area, summer daily high temperatures range between 60 to 80 degrees, with some days reaching into the 90s. Winter is Vermont's longest season and temps in winter vary more than those in summer. Common to experience freezing temperatures from Nov to March, many sub-zero days, seasonal snowfall averages 80 inches."
mima,0.0,0.0,0.0,Minute Man National Historical Park,0.0,0.0,Minute Man Visitor Center,Lincoln,MA,01773,0,mima_info@nps.gov,42.4562778,-71.30738884,"New England weather can be quite unpredictable, so check the regional weather forecasts before you plan your trip. Winters can range in temperature from 20 - 50 degrees Fahrenheit. Summers are quite humid and range in temperature from 60 - 90 degrees Fahrenheit. Beware of ticks as they can be active year round."
miss,0.0,0.0,0.0,Mississippi National River and Recreation Area,0.0,0.0,120 W. Kellogg Blvd.,Saint Paul,MN,55101,0,miss_info@nps.gov,44.942487,-93.098712,"Minnesota has a continental climate characterized by cold winters and warm summers. Spring brings moderate temperatures and low humidity. Summer days may reach temperatures of more than 100°F (38°C), but are usually pleasant with temperatures in the low to mid-80°F (25-30°C). Autumn brings dry, warm days, cool nights and gorgeous fall colors. Winter daytime highs are around 25°F (-3°C). Rarely, winter daytime high temperatures may not get above -10°F (-23°C), sometimes with strong winds."
mnrr,0.0,0.0,0.0,Missouri National Recreational River,0.0,0.0,508 East 2nd Street,Yankton,SD,57078,0,dugan_smith@nps.gov,42.7882189,-97.59077822,"Rapid weather changes are common along the Missouri National Recreational River corridor. Variations from season to season and from year to year are great. Characteristics of the climate are hot summers and cold winters. Sunshine is abundant, particularly in the summer months. Average annual rainfall is 25 inches. Thunderstorms can be dangerous and visitors should be prepared for them, especially from June until late August. Winter snowfall averages 34 inches annually."
